Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría,origen
627426,2025-07-29 23:18:13.597,ELEC-38990,Online,1,TOK,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627427,2025-07-30 00:24:32.447,ELEB-19207,Online,1,TOK,ELE,ELEB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627428,2025-07-30 00:31:25.573,PCTG-24967,Online,1,OSA,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627429,2025-07-30 07:23:36.009,PMUC-85322,Online,1,YOK,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627430,2025-07-30 08:58:43.587,PMUC-95197,Tienda,1,SEN,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627431,2025-07-30 10:17:34.726,PCTA-28013,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627432,2025-07-30 13:38:57.556,CAMB-76266,Online,1,NAO,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627433,2025-07-30 21:26:13.722,PMUC-72771,Online,1,TOK,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627434,2025-07-31 01:00:53.003,TVSA-47994,Online,1,TOK,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627435,2025-07-31 03:45:48.759,EAGA-72753,Online,1,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627436,2025-07-31 05:41:52.751,SALA-26965,Online,2,YOK,SAL,SALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627437,2025-07-31 06:00:25.130,SVSA-27487,Tienda,1,NAA,SVS,SVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627438,2025-07-31 13:09:49.624,PMUF-69780,Online,1,TOK,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627439,2025-07-31 16:48:17.710,PCTG-24967,Online,1,NAO,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627440,2025-07-31 22:29:24.991,PCTA-28620,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627441,2025-08-01 07:30:12.178,CAMF-87569,Online,1,TOK,CAM,CAMF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627442,2025-08-01 08:57:10.888,PMUD-39558,Tienda,1,NAO,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627443,2025-08-01 13:38:23.262,CAMB-76266,Tienda,1,OSA,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627444,2025-08-01 18:23:30.157,AUDC-60349,Online,1,OSA,AUD,AUDC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627445,2025-08-02 03:18:07.983,SALC-56522,Online,2,TOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627446,2025-08-02 04:17:20.332,TVSE-93265,Online,1,TOK,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627447,2025-08-02 13:17:56.811,AUDB-40774,Online,1,TOK,AUD,AUDB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627448,2025-08-02 15:46:38.856,TREA-95262,Online,1,SAP,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627449,2025-08-02 18:44:38.847,JUGA-48800,Online,1,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627450,2025-08-02 23:18:19.091,AUDG-29794,Online,1,TOK,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627451,2025-08-02 23:43:12.553,DEPA-15668,Online,3,FUK,DEP,DEPA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627452,2025-08-03 09:59:25.697,TVSE-66783,Online,1,OSA,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627453,2025-08-03 10:48:39.513,TREB-15387,Online,3,SEN,TRE,TREB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627454,2025-08-03 11:32:08.126,EAGA-34753,Online,1,NAO,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627455,2025-08-03 17:48:22.787,TVSH-94394,Online,3,NAA,TVS,TVSH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627456,2025-08-04 05:25:55.255,CAMF-35067,Online,2,KAW,CAM,CAMF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627457,2025-08-04 06:27:26.454,CAMD-21652,Online,1,OSA,CAM,CAMD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627458,2025-08-04 16:00:18.883,PMUF-96262,Online,3,KYO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627459,2025-08-04 17:47:02.374,JUGA-80769,Tienda,1,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627460,2025-08-04 18:21:06.228,EAGC-60739,Online,1,OSA,EAG,EAGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627461,2025-08-04 21:55:51.516,ELEG-27936,Online,1,OSA,ELE,ELEG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627462,2025-08-05 05:13:55.368,SALC-25944,Online,1,TOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627463,2025-08-05 14:15:23.575,VALD-50076,Online,1,OSA,VAL,VALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627464,2025-08-06 00:43:21.363,SALC-61416,Online,1,OSA,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627465,2025-08-06 04:05:54.034,HOGA-90043,Online,2,TOK,HOG,HOGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627466,2025-08-06 05:02:13.918,VJGA-20197,Online,1,TOK,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627467,2025-08-06 10:53:43.241,EAGA-77205,Tienda,1,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627468,2025-08-06 14:14:51.575,EAGB-93833,Online,1,KYO,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627469,2025-08-07 00:48:35.453,AUDG-55619,Online,1,NAA,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627470,2025-08-07 05:19:49.228,TREC-38459,Online,1,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627471,2025-08-07 09:50:32.336,SALD-86893,Online,2,YOK,SAL,SALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627472,2025-08-07 19:04:03.883,TVSA-69059,Online,2,TOK,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627473,2025-08-08 04:16:05.781,HOGB-62427,Online,3,KAW,HOG,HOGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627474,2025-08-08 15:27:02.721,CAMB-72325,Online,1,TOK,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627475,2025-08-08 22:58:34.257,CAME-10194,Online,3,NAO,CAM,CAME,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627476,2025-08-09 03:57:47.465,ELEC-63932,Online,1,YOK,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627477,2025-08-09 14:09:03.497,TVSB-75678,Tienda,1,TOK,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627478,2025-08-09 14:52:49.909,VJGC-17993,Online,1,TOK,VJG,VJGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627479,2025-08-09 17:09:55.896,VJGA-63405,Online,1,YOK,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627480,2025-08-10 01:02:44.306,PMUD-72375,Online,1,SAI,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627481,2025-08-10 06:52:33.914,JUGA-11747,Online,1,YOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627482,2025-08-10 08:23:53.978,EAGA-72753,Online,1,NAA,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627483,2025-08-10 13:36:15.446,VJGA-52049,Online,1,TOK,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627484,2025-08-10 17:49:01.285,PCTE-13396,Online,1,TOK,PCT,PCTE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627485,2025-08-10 17:53:48.159,PCTF-23943,Online,1,YOK,PCT,PCTF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627486,2025-08-11 00:39:16.000,TVSB-25580,Online,1,FUK,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627487,2025-08-11 02:47:09.798,PCTA-79303,Online,1,KYO,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627488,2025-08-11 08:25:22.619,EAGC-89228,Tienda,2,OSA,EAG,EAGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627489,2025-08-11 10:55:19.535,ELEE-74121,Online,1,OSA,ELE,ELEE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627490,2025-08-11 11:14:46.340,PCTB-11336,Online,1,OSA,PCT,PCTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627491,2025-08-11 17:51:59.139,TVSB-24886,Online,3,OSA,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627492,2025-08-12 02:42:12.136,PCTD-28484,Tienda,1,TOK,PCT,PCTD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627493,2025-08-12 12:50:07.031,EAGB-93225,Online,1,TOK,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627494,2025-08-12 21:09:30.130,TVSF-74699,Online,1,SEN,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627495,2025-08-13 00:15:21.003,ELEC-63932,Tienda,1,OSA,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627496,2025-08-13 04:02:04.414,HINC-64692,Online,1,TOK,HIN,HINC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627497,2025-08-13 14:42:19.450,TVSJ-35413,Tienda,1,KAW,TVS,TVSJ,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627498,2025-08-14 00:57:30.948,VJGC-59751,Online,1,KYO,VJG,VJGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627499,2025-08-14 04:46:09.532,CAMD-99456,Online,1,TOK,CAM,CAMD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627500,2025-08-14 09:42:10.927,TVSB-58406,Online,1,NAA,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627501,2025-08-14 11:26:32.788,VALD-36480,Online,1,TOK,VAL,VALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627502,2025-08-14 22:11:44.273,TVSF-54905,Tienda,2,OSA,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627503,2025-08-15 01:50:28.662,TVSK-29455,Online,1,FUK,TVS,TVSK,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627504,2025-08-15 02:54:38.866,VALD-70662,Online,1,FUK,VAL,VALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627505,2025-08-15 13:32:17.184,HIND-23105,Online,1,YOK,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627506,2025-08-16 00:28:03.430,ELEG-97121,Online,1,TOK,ELE,ELEG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627507,2025-08-16 03:06:21.705,ELEE-74121,Online,1,YOK,ELE,ELEE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627508,2025-08-16 09:34:57.063,ELEG-76662,Online,1,TOK,ELE,ELEG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627509,2025-08-16 14:19:35.953,AUDE-20785,Online,2,TOK,AUD,AUDE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627510,2025-08-16 17:04:25.753,DEPC-36340,Online,1,TOK,DEP,DEPC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627511,2025-08-16 19:09:17.932,SVSA-29587,Online,1,TOK,SVS,SVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627512,2025-08-17 05:14:03.570,PCTF-23943,Online,1,YOK,PCT,PCTF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627513,2025-08-17 09:52:30.775,TCLB-78566,Online,1,TOK,TCL,TCLB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627514,2025-08-17 12:01:59.082,TVSF-97496,Online,1,CHI,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627515,2025-08-17 12:54:29.880,PCTC-51525,Tienda,3,SEN,PCT,PCTC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627516,2025-08-17 21:39:29.977,HIND-75394,Online,1,OSA,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627517,2025-08-18 01:24:14.670,ELEF-53541,Online,1,TOK,ELE,ELEF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627518,2025-08-18 05:20:32.161,PCTD-90095,Online,3,NAO,PCT,PCTD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627519,2025-08-18 07:47:12.524,VALB-67289,Online,1,OSA,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627520,2025-08-18 10:27:16.263,VALD-85277,Online,1,TOK,VAL,VALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627521,2025-08-18 22:04:20.579,TVSC-89610,Online,1,TOK,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627522,2025-08-19 06:27:39.445,EAGA-33983,Online,2,OSA,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627523,2025-08-19 14:06:29.753,SALB-57342,Online,2,TOK,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627524,2025-08-20 01:15:59.737,VALB-67289,Online,1,TOK,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627525,2025-08-20 12:30:18.189,PMUB-71172,Tienda,2,YOK,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627526,2025-08-21 00:08:54.259,TVSF-52972,Online,3,TOK,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627527,2025-08-21 09:48:47.324,PCTG-19234,Online,1,TOK,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627528,2025-08-21 21:11:55.964,SALB-74444,Online,1,NAO,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627529,2025-08-22 07:17:58.818,HINB-61066,Tienda,2,OSA,HIN,HINB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627530,2025-08-22 08:03:00.019,DEPC-31630,Online,1,OSA,DEP,DEPC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627531,2025-08-22 08:27:36.875,PMUD-39558,Online,1,KOB,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627532,2025-08-22 14:29:27.950,PCTE-68553,Online,1,TOK,PCT,PCTE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627533,2025-08-22 21:01:45.700,AUDD-14707,Online,1,OSA,AUD,AUDD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627534,2025-08-22 21:12:40.056,AUDD-51870,Online,1,NAO,AUD,AUDD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627535,2025-08-22 21:41:13.561,SALC-14541,Online,1,YOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627536,2025-08-23 02:18:03.331,JUGA-76388,Online,3,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627537,2025-08-23 07:24:35.158,HOGC-38780,Online,1,NAO,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627538,2025-08-23 11:10:50.876,SVSB-78752,Online,1,TOK,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627539,2025-08-23 17:39:16.975,TVSA-71943,Online,1,YOK,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627540,2025-08-23 18:59:28.911,ELEF-39035,Online,1,YOK,ELE,ELEF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627541,2025-08-24 05:03:05.713,TVSE-35938,Online,1,TOK,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627542,2025-08-24 07:24:21.774,TVSG-52521,Online,1,TOK,TVS,TVSG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627543,2025-08-24 17:34:34.531,SVSB-70583,Online,1,OSA,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627544,2025-08-24 19:39:00.389,TVSA-86884,Tienda,2,KYO,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627545,2025-08-24 21:47:06.088,HINB-81416,Online,1,TOK,HIN,HINB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627546,2025-08-24 23:56:49.558,AUDG-55619,Tienda,1,TOK,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627547,2025-08-25 08:01:35.886,TCLB-94347,Online,1,YOK,TCL,TCLB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627548,2025-08-25 11:51:09.931,EAGB-86819,Online,1,OSA,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627549,2025-08-25 16:55:46.756,HINB-80143,Online,1,TOK,HIN,HINB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627550,2025-08-25 17:15:57.392,PMUF-11542,Online,1,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627551,2025-08-25 22:05:50.185,PCTG-24967,Online,1,KYO,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627552,2025-08-26 03:57:29.644,VJGA-77269,Online,1,NAO,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627553,2025-08-26 05:27:46.510,TVSH-51985,Online,3,OSA,TVS,TVSH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627554,2025-08-26 06:47:02.530,TREB-88970,Online,2,TOK,TRE,TREB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627555,2025-08-26 16:09:57.495,SALB-55826,Online,1,NAA,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627556,2025-08-26 18:54:01.177,SALA-98787,Online,1,YOK,SAL,SALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627557,2025-08-27 04:13:16.251,PCTG-58763,Online,1,TOK,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627558,2025-08-27 13:38:07.548,PCTF-73347,Online,2,TOK,PCT,PCTF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627559,2025-08-27 23:58:59.944,VALA-45556,Tienda,1,OSA,VAL,VALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627560,2025-08-28 10:08:51.794,AUDG-52341,Online,3,YOK,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627561,2025-08-28 18:20:34.947,EAGA-51758,Online,3,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627562,2025-08-29 02:15:06.468,VJGA-52049,Online,1,KOB,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627563,2025-08-29 09:29:56.652,PCTE-95402,Online,1,SAI,PCT,PCTE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627564,2025-08-29 10:27:19.727,CAMD-15276,Online,1,TOK,CAM,CAMD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627565,2025-08-29 14:48:40.529,SVSC-18384,Online,1,TOK,SVS,SVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627566,2025-08-29 23:50:14.594,AUDF-48133,Online,1,TOK,AUD,AUDF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627567,2025-08-30 04:57:25.536,PCTB-39061,Online,3,YOK,PCT,PCTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627568,2025-08-30 05:28:53.501,HOGC-91549,Online,3,OSA,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627569,2025-08-30 13:57:44.513,TVSA-47994,Online,1,TOK,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627570,2025-08-31 00:53:04.116,PMUE-65102,Online,1,TOK,PMU,PMUE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627571,2025-08-31 03:57:01.947,EAGA-50329,Online,1,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627572,2025-08-31 09:15:28.028,VALC-29478,Online,2,YOK,VAL,VALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627573,2025-08-31 12:31:08.077,HOGC-99132,Online,1,OSA,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627574,2025-08-31 23:40:45.952,HIND-78250,Online,1,TOK,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627575,2025-09-01 00:34:36.863,HINC-67291,Online,1,YOK,HIN,HINC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627576,2025-09-01 06:24:15.013,TVSF-51846,Tienda,1,TOK,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627577,2025-09-01 14:46:14.334,TREC-38459,Online,1,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627578,2025-09-01 20:12:08.339,TVSB-65396,Online,1,KOB,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627579,2025-09-02 03:04:01.646,HOGB-92802,Online,1,NAO,HOG,HOGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627580,2025-09-02 07:54:55.224,PCTD-28484,Tienda,3,YOK,PCT,PCTD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627581,2025-09-02 09:02:57.677,ELEH-14712,Online,1,CHI,ELE,ELEH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627582,2025-09-02 16:44:58.084,SALC-74981,Online,2,NAA,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627583,2025-09-02 18:06:19.689,PMUD-11547,Online,1,YOK,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627584,2025-09-02 22:56:01.863,CAME-36070,Online,1,TOK,CAM,CAME,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627585,2025-09-03 05:16:54.951,PMUA-22761,Online,1,FUK,PMU,PMUA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627586,2025-09-03 11:11:53.524,EAGC-89130,Online,1,CHI,EAG,EAGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627587,2025-09-03 12:47:33.421,JUGA-76388,Online,1,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627588,2025-09-03 21:25:49.317,TREC-89337,Online,1,KYO,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627589,2025-09-04 09:14:38.084,CAMG-22492,Online,1,NAA,CAM,CAMG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627590,2025-09-04 20:21:29.830,HIND-63924,Tienda,1,OSA,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627591,2025-09-05 05:32:00.848,PCTA-43488,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627592,2025-09-05 09:40:03.994,PCTA-60986,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627593,2025-09-05 10:05:22.393,PMUC-48740,Online,2,TOK,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627594,2025-09-05 11:25:25.661,VALD-50076,Tienda,1,TOK,VAL,VALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627595,2025-09-05 21:00:59.063,EAGB-93833,Online,2,OSA,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627596,2025-09-06 06:08:47.534,TREC-33239,Online,2,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627597,2025-09-06 16:46:54.123,PCTA-60986,Online,3,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627598,2025-09-06 19:26:23.530,TVSK-49778,Tienda,1,TOK,TVS,TVSK,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627599,2025-09-06 20:11:21.286,GFTB-28763,Online,1,OSA,GFT,GFTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627600,2025-09-06 22:22:19.513,SALB-74444,Online,1,OSA,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627601,2025-09-07 01:09:33.388,TREA-54559,Online,3,KOB,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627602,2025-09-07 06:18:07.290,TVSH-48777,Tienda,1,OSA,TVS,TVSH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627603,2025-09-07 08:29:26.128,VALB-85841,Online,3,TOK,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
627604,2025-09-07 16:18:02.569,EAGB-93225,Online,2,SAI,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
